n,Run,Time_seconds
100,1,0.000062
100,2,0.000063
100,3,0.000063
200,1,0.000261
200,2,0.000234
200,3,0.000239
300,1,0.000724
300,2,0.000736
300,3,0.001057
400,1,0.001463
400,2,0.001816
400,3,0.001092
500,1,0.003702
500,2,0.003678
500,3,0.001960
600,1,0.002880
600,2,0.002538
600,3,0.003688
700,1,0.004173
700,2,0.008234
700,3,0.008798
800,1,0.005037
800,2,0.005724
800,3,0.004941
900,1,0.006575
900,2,0.006643
900,3,0.007339
1000,1,0.009639
1000,2,0.008039
1000,3,0.009177
2000,1,0.045465
2000,2,0.046031
2000,3,0.045528
4000,1,0.224335
4000,2,0.217416
4000,3,0.223578
8000,1,1.016424
8000,2,0.999090
8000,3,1.054809
16000,1,8.945776
16000,2,8.924418
16000,3,8.951975
20000,1,9.427184
20000,2,9.437454
20000,3,9.055888
25000,1,17.601859
25000,2,16.681507
25000,3,16.588298
30000,1,27.791879
30000,2,28.758028
30000,3,26.322129
40000,1,77.117112
40000,2,77.165490
40000,3,75.948832
