n,t,run,time
4000,2,1,0.014540
4000,2,2,0.018172
4000,2,3,0.018506
4000,4,1,0.022927
4000,4,2,0.022501
4000,4,3,0.023492
4000,8,1,0.027694
4000,8,2,0.027366
4000,8,3,0.033009
4000,16,1,0.038022
4000,16,2,0.033686
4000,16,3,0.033495
8000,2,1,0.056518
8000,2,2,0.060112
8000,2,3,0.055731
8000,4,1,0.085382
8000,4,2,0.087451
8000,4,3,0.086881
8000,8,1,0.102653
8000,8,2,0.099831
8000,8,3,0.111726
8000,16,1,0.124436
8000,16,2,0.122716
8000,16,3,0.126551
16000,2,1,0.204243
16000,2,2,0.199779
16000,2,3,0.208155
16000,4,1,0.307341
16000,4,2,0.296739
16000,4,3,0.303263
16000,8,1,0.414202
16000,8,2,0.394432
16000,8,3,0.398659
16000,16,1,0.433494
16000,16,2,0.459253
16000,16,3,0.458044
