n,t,Run,Time_seconds
25000,1,1,16.303970
25000,1,2,17.440690
25000,1,3,16.644688
25000,2,1,14.769992
25000,2,2,14.379210
25000,2,3,14.353803
25000,4,1,13.144485
25000,4,2,12.986126
25000,4,3,13.498209
25000,8,1,11.299390
25000,8,2,10.353012
25000,8,3,12.071095
25000,16,1,11.245563
25000,16,2,10.306918
25000,16,3,10.529725
25000,32,1,10.808338
25000,32,2,10.744467
25000,32,3,10.455975
25000,64,1,10.416819
25000,64,2,10.105188
25000,64,3,10.258704
30000,1,1,26.719472
30000,1,2,30.264519
30000,1,3,28.771548
30000,2,1,24.668940
30000,2,2,28.975546
30000,2,3,26.061706
30000,4,1,25.822573
30000,4,2,26.422760
30000,4,3,22.863536
30000,8,1,20.067161
30000,8,2,20.716201
30000,8,3,20.974003
30000,16,1,19.059442
30000,16,2,17.447203
30000,16,3,18.939931
30000,32,1,18.556236
30000,32,2,18.984613
30000,32,3,19.051165
30000,64,1,17.291712
30000,64,2,16.436813
30000,64,3,17.182956
40000,1,1,100.762865
40000,1,2,80.962808
40000,1,3,80.177616
40000,2,1,56.645065
40000,2,2,57.622343
40000,2,3,55.039595
40000,4,1,50.919644
40000,4,2,52.226040
40000,4,3,51.736744
40000,8,1,43.891709
40000,8,2,41.273156
40000,8,3,43.526415
40000,16,1,39.686137
40000,16,2,39.335844
40000,16,3,38.935961
40000,32,1,39.011227
40000,32,2,37.879344
40000,32,3,40.411656
40000,64,1,38.022790
40000,64,2,36.907860
40000,64,3,37.345439
