n,t,run,time
4000,2,1,0.016576
4000,2,2,0.015553
4000,2,3,0.015187
4000,4,1,0.023021
4000,4,2,0.024071
4000,4,3,0.024345
4000,8,1,0.029421
4000,8,2,0.030629
4000,8,3,0.029055
4000,16,1,0.035423
4000,16,2,0.034414
4000,16,3,0.035923
8000,2,1,0.052038
8000,2,2,0.056003
8000,2,3,0.056865
8000,4,1,0.088928
8000,4,2,0.086846
8000,4,3,0.085981
8000,8,1,0.103423
8000,8,2,0.101003
8000,8,3,0.109725
8000,16,1,0.130102
8000,16,2,0.122868
8000,16,3,0.128082
16000,2,1,0.219621
16000,2,2,0.215163
16000,2,3,0.225091
16000,4,1,0.343269
16000,4,2,0.333158
16000,4,3,0.332469
16000,8,1,0.414651
16000,8,2,0.385119
16000,8,3,0.414849
16000,16,1,0.461068
16000,16,2,0.494783
16000,16,3,0.489821
