n,t,T_S,T_P,T_O,S,E,pT_P
4000,2,.295228,17.433931,34.572634,.016934,.008467,34.867862
4000,4,.295228,26.383314,105.238028,.011189,.002797,105.533256
4000,8,.295228,37.297383,298.083836,.007915,.000989,298.379064
4000,16,.295228,83.163006,1330.312868,.003549,.000221,1330.608096
8000,2,1.318893,68.477749,135.636605,.019260,.009630,136.955498
8000,4,1.318893,107.276019,427.785183,.012294,.003073,429.104076
8000,8,1.318893,138.747333,1108.659771,.009505,.001188,1109.978664
8000,16,1.318893,286.779395,4587.151427,.004598,.000287,4588.470320
16000,2,6.987490,316.947134,626.906778,.022046,.011023,633.894268
16000,4,6.987490,435.132786,1733.543654,.016058,.004014,1740.531144
16000,8,6.987490,632.963869,5056.723462,.011039,.001379,5063.710952
16000,16,6.987490,1059.341128,16942.470558,.006596,.000412,16949.458048
