n,t,run,master_time,slave_max
4000,2,1,16.422106,0.222128
4000,2,2,16.566378,0.256878
4000,2,3,19.313311,0.215072
4000,4,1,26.935356,0.113292
4000,4,2,26.157120,0.126658
4000,4,3,26.057468,0.120526
4000,8,1,36.237687,0.071524
4000,8,2,37.884536,0.068659
4000,8,3,37.769926,0.073960
4000,16,1,84.294785,0.060343
4000,16,2,82.815471,0.055562
4000,16,3,82.378762,0.052002
8000,2,1,71.029357,0.970647
8000,2,2,68.072885,1.001898
8000,2,3,66.331005,1.004011
8000,4,1,105.164691,0.616503
8000,4,2,104.169026,0.588962
8000,4,3,112.494341,0.635482
8000,8,1,ERROR,0.305734
8000,8,2,ERROR,0.314013
8000,8,3,ERROR,0.296527
8000,16,1,ERROR,0.249547
8000,16,2,ERROR,0.247938
8000,16,3,289.343883,0.223378
16000,2,1,ERROR,5.710881
16000,2,2,ERROR,5.267678
16000,2,3,392.198356,5.561108
16000,4,1,449.031684,3.354102
16000,4,2,430.014097,3.409791
16000,4,3,426.352578,3.437070
16000,8,1,15.217315,ERROR
16000,8,2,593.429605,1.812643
16000,8,3,743.835589,1.623947
16000,16,1,1167.457773,1.543740
16000,16,2,1190.960167,1.390350
16000,16,3,ERROR,0.680849
8000,8,1,15.097176,ERROR
8000,8,2,138.772470,0.334837
8000,8,3,138.722976,0.349304
8000,8,1,138.746554,0.336322
8000,16,1,285.569998,0.256353
8000,16,2,285.424305,0.269479
16000,2,1,272.621332,5.385445
16000,2,2,286.021716,5.353142
16000,2,2,ERROR,ERROR
16000,8,1,ERROR,ERROR
16000,8,1,83.169962,ERROR
16000,16,3,ERROR,0.448705
16000,16,3,819.605444,0.448705
16000,8,1,561.626415,1.593859
